Entity,Code,Year,Capacity
Bagasse,,2000,4217.939
Bagasse,,2001,4713.43
Bagasse,,2002,4823.117
Bagasse,,2003,4911.859
Bagasse,,2004,5443.381
Bagasse,,2005,6405.561
Bagasse,,2006,6645.564
Bagasse,,2007,7229.348
Bagasse,,2008,7958.945
Bagasse,,2009,8555.533
Bagasse,,2010,10875.08
Bagasse,,2011,12081.99
Bagasse,,2012,13294.12
Bagasse,,2013,14979.86
Bagasse,,2014,15965.5
Bagasse,,2015,17039.54
Bagasse,,2016,17898.79
Bagasse,,2017,18450.25
Bagasse,,2018,19212.91
Bagasse,,2019,19913.11
Bagasse,,2020,20326.85
Bagasse,,2021,20590.41
Bagasse,,2022,21027.96
Bioenergy,,2000,28120.21
Bioenergy,,2001,31309.8
Bioenergy,,2002,32801.8
Bioenergy,,2003,35055.94
Bioenergy,,2004,37929.24
Bioenergy,,2005,43169.28
Bioenergy,,2006,47187
Bioenergy,,2007,50379.92
Bioenergy,,2008,54364.54
Bioenergy,,2009,61105.86
Bioenergy,,2010,65639.5
Bioenergy,,2011,72090.39
Bioenergy,,2012,77224.65
Bioenergy,,2013,84879.2
Bioenergy,,2014,90744.73
Bioenergy,,2015,96484.02
Bioenergy,,2016,105424.2
Bioenergy,,2017,111006.4
Bioenergy,,2018,118194.4
Bioenergy,,2019,124199.3
Bioenergy,,2020,133236
Bioenergy,,2021,141301.6
Bioenergy,,2022,148912.4
Biogas,,2000,2873.356
Biogas,,2001,2807.155
Biogas,,2002,3071.885
Biogas,,2003,3505.7
Biogas,,2004,3798.385
Biogas,,2005,4847.869
Biogas,,2006,5429.145
Biogas,,2007,6314.14
Biogas,,2008,6835.992
Biogas,,2009,8438.473
Biogas,,2010,9617.745
Biogas,,2011,11572.37
Biogas,,2012,13272.09
Biogas,,2013,14151.35
Biogas,,2014,15188.12
Biogas,,2015,15863.17
Biogas,,2016,16846.84
Biogas,,2017,17445.97
Biogas,,2018,18494.93
Biogas,,2019,19299.63
Biogas,,2020,20652.39
Biogas,,2021,20905.92
Biogas,,2022,21376.49
Concentrated solar power,,2000,419
Concentrated solar power,,2001,388.8
Concentrated solar power,,2002,388.8
Concentrated solar power,,2003,389.2
Concentrated solar power,,2004,389.2
Concentrated solar power,,2005,401.2
Concentrated solar power,,2006,412.2
Concentrated solar power,,2007,478.8
Concentrated solar power,,2008,534.8
Concentrated solar power,,2009,766.1
Concentrated solar power,,2010,1265.82
Concentrated solar power,,2011,1704.02
Concentrated solar power,,2012,2566.52
Concentrated solar power,,2013,3942.333
Concentrated solar power,,2014,4598.633
Concentrated solar power,,2015,4849.943
Concentrated solar power,,2016,4969.943
Concentrated solar power,,2017,5069.013
Concentrated solar power,,2018,5810.834
Concentrated solar power,,2019,6376.984
Concentrated solar power,,2020,6510.684
Concentrated solar power,,2021,6374.963
Concentrated solar power,,2022,6500.963
Geothermal energy,,2000,8235.95
Geothermal energy,,2001,7917.16
Geothermal energy,,2002,8108.4
Geothermal energy,,2003,8200.3
Geothermal energy,,2004,8218.33
Geothermal energy,,2005,8568.565
Geothermal energy,,2006,8796.345
Geothermal energy,,2007,9027.565
Geothermal energy,,2008,9329.265
Geothermal energy,,2009,9766.765
Geothermal energy,,2010,10228.77
Geothermal energy,,2011,10370.17
Geothermal energy,,2012,10742.17
Geothermal energy,,2013,10982.87
Geothermal energy,,2014,11423.72
Geothermal energy,,2015,12084.93
Geothermal energy,,2016,12404.93
Geothermal energy,,2017,13025.07
Geothermal energy,,2018,13471.32
Geothermal energy,,2019,14089.46
Geothermal energy,,2020,14416.76
Geothermal energy,,2021,14695.61
Geothermal energy,,2022,14876.51
Hydropower,,2000,782150.25
Hydropower,,2001,789876.4
Hydropower,,2002,802801.5
