Entity,Code,Year,Coal production - TWh,Oil production - TWh,Gas production - TWh
Algeria,DZA,1982,,531.3829,233.10008
Algeria,DZA,1983,,522.8083,333.79263
Algeria,DZA,1984,,567.38074,339.75882
Algeria,DZA,1985,,547.31964,373.38113
Algeria,DZA,1986,,563.81366,381.8943
Algeria,DZA,1987,,583.7999,431.0078
Algeria,DZA,1988,,611.4504,450.58105
Algeria,DZA,1989,,633.65845,485.83163
Algeria,DZA,1990,,678.6744,516.5697
Algeria,DZA,1991,,682.6081,557.0305
Algeria,DZA,1992,,657.11145,580.01135
Algeria,DZA,1993,,655.03894,587.4661
Algeria,DZA,1994,,652.1087,540.1088
Algeria,DZA,1995,,649.0849,614.91296
Algeria,DZA,1996,,686.3133,652.51276
Algeria,DZA,1997,,716.0245,748.58813
Algeria,DZA,1998,,713.91675,801.621
Algeria,DZA,1999,,680.686,901.0691
Algeria,DZA,2000,,776.73285,918.8863
Algeria,DZA,2001,,764.68414,864.72534
Algeria,DZA,2002,,824.4972,889.41583
Algeria,DZA,2003,,918.8281,938.57587
Algeria,DZA,2004,,971.6982,920.5493
Algeria,DZA,2005,,1005.2701,849.1175
Algeria,DZA,2006,,1002.5293,812.9949
Algeria,DZA,2007,,1005.7857,816.45984
Algeria,DZA,2008,,985.77057,826.0078
Algeria,DZA,2009,,898.23145,765.6687
Algeria,DZA,2010,,858.0033,773.9655
Algeria,DZA,2011,,833.5803,795.9875
Algeria,DZA,2012,,781.67554,784.4375
Algeria,DZA,2013,,753.43787,793.38873
Algeria,DZA,2014,,799.80676,801.724
Algeria,DZA,2015,,781.8267,814.1113
Algeria,DZA,2016,,795.6897,913.9226
Algeria,DZA,2017,,775.1163,929.7653
Algeria,DZA,2018,,759.81116,938.4375
Algeria,DZA,2019,,748.15796,869.52246
Algeria,DZA,2020,,670.1788,814.2461
Algeria,DZA,2021,,676.866,1010.98114
Algeria,DZA,2022,,740.2434,981.75
Angola,AGO,1965,,7.6176496,
Angola,AGO,1966,,7.33853,
Angola,AGO,1967,,6.24531,
Angola,AGO,1968,,8.7225,
Angola,AGO,1969,,28.58654,
Angola,AGO,1970,,58.905952,
Angola,AGO,1971,,66.53523,
Angola,AGO,1972,,82.072914,
Angola,AGO,1973,,95.07526,
Angola,AGO,1974,,99.33183,
Angola,AGO,1975,,90.60933,
Angola,AGO,1976,,87.96932,
Angola,AGO,1977,,82.13106,
Angola,AGO,1978,,75.23447,
Angola,AGO,1979,,83.736,
Angola,AGO,1980,,86.38764,
Angola,AGO,1981,,83.24754,
Angola,AGO,1982,,74.5483,
Angola,AGO,1983,,102.2277,
Angola,AGO,1984,,117.16062,
Angola,AGO,1985,,133.18675,
Angola,AGO,1986,,161.95938,
Angola,AGO,1987,,203.59479,
Angola,AGO,1988,,259.5816,
Angola,AGO,1989,,263.32648,
Angola,AGO,1990,,271.9094,
Angola,AGO,1991,,285.0978,
Angola,AGO,1992,,315.7894,
Angola,AGO,1993,,288.54028,
Angola,AGO,1994,,318.94113,
Angola,AGO,1995,,362.542,
Angola,AGO,1996,,411.2833,
Angola,AGO,1997,,424.495,
Angola,AGO,1998,,418.68,
Angola,AGO,1999,,426.821,
Angola,AGO,2000,,428.5655,
Angola,AGO,2001,,425.0765,
Angola,AGO,2002,,518.698,
Angola,AGO,2003,,498.14465,
Angola,AGO,2004,,634.8,
Angola,AGO,2005,,726.1117,
Angola,AGO,2006,,798.73517,
Angola,AGO,2007,,944.1738,
Angola,AGO,2008,,1073.3398,
Angola,AGO,2009,,1000.60815,
Angola,AGO,2010,,1034.2383,
Angola,AGO,2011,,954.0293,
Angola,AGO,2012,,991.99084,
Angola,AGO,2013,,990.9448,
Angola,AGO,2014,,968.5163,
Angola,AGO,2015,,1025.3318,
Angola,AGO,2016,,997.48224,
Angola,AGO,2017,,949.0655,
Angola,AGO,2018,,861.6136,
Angola,AGO,2019,,803.5187,
Angola,AGO,2020,,750.9674,
Angola,AGO,2021,,664.31494,
Angola,AGO,2022,,671.88135,
Argentina,ARG,1965,,160.08415,
Argentina,ARG,1966,,170.30933,
Argentina,ARG,1967,,185.64127,
Argentina,ARG,1968,,203.38065,
Argentina,ARG,1969,,210.5816,
Argentina,ARG,1970,,232.60602,58.5445
Argentina,ARG,1971,,250.86913,63.265987
Argentina,ARG,1972,,258.39575,60.1394
Argentina,ARG,1973,,251.22163,65.488144
Argentina,ARG,1974,,245.91354,70.48679
Argentina,ARG,1975,,235.63022,74.804695
Argentina,ARG,1976,,237.41644,71.32315
Argentina,ARG,1977,,256.58066,73.61825
Argentina,ARG,1978,,269.9307,75.952255
Argentina,ARG,1979,,282.35434,70.311745
Argentina,ARG,1980,,293.85562,81.64623
Argentina,ARG,1981,,299.3141,84.952736
Argentina,ARG,1982,,297.39435,95.20775
Argentina,ARG,1983,,298.51083,127.78649
Argentina,ARG,1984,,292.39865,131.093
Argentina,ARG,1985,,280.96475,135.08025
Argentina,ARG,1986,,265.96246,150.83475
Argentina,ARG,1987,,262.51917,147.33376
Argentina,ARG,1988,,275.8608,174.661
Argentina,ARG,1989,,281.7945,184.67775
Argentina,ARG,1990,,295.82712,173.494
Argentina,ARG,1991,,301.00766,193.81924
Argentina,ARG,1992,,337.74042,195.37524
Argentina,ARG,1993,,361.31885,209.282
Argentina,ARG,1994,,401.36295,216.57574
Argentina,ARG,1995,,435.6241,243.22224
Argentina,ARG,1996,,474.6901,281.34424
Argentina,ARG,1997,,504.57437,266.2705
Argentina,ARG,1998,,512.04645,287.76273
Argentina,ARG,1999,,484.84152,336.19324
Argentina,ARG,2000,,480.87112,363.81223
Argentina,ARG,2001,,510.89627,361.1865
Argentina,ARG,2002,,503.27728,351.16974
Argentina,ARG,2003,,501.18347,399.11398
Argentina,ARG,2004,,477.1305,436.45798
Argentina,ARG,2005,,457.86237,443.75174
Argentina,ARG,2006,,458.60773,448.32248
Argentina,ARG,2007,,444.4343,435.97174
Argentina,ARG,2008,,439.66977,428.4835
Argentina,ARG,2009,,395.9278,403.0119
Argentina,ARG,2010,,387.02927,389.96994
Argentina,ARG,2011,,362.6855,377.17844
Argentina,ARG,2012,,358.6779,366.91202
Argentina,ARG,2013,,351.06256,345.5585
Argentina,ARG,2014,,346.41473,344.8588
Argentina,ARG,2015,,349.43137,354.91144
Argentina,ARG,2016,,332.97617,372.82358
Argentina,ARG,2017,,316.80292,371.4989
Argentina,ARG,2018,,320.31754,394.23288
Argentina,ARG,2019,,335.34912,416.1526
Argentina,ARG,2020,,321.65402,382.92526
Argentina,ARG,2021,,338.25745,386.08493
Argentina,ARG,2022,,381.5427,415.9182
Asia,,1981,5055.79,11841.785,972.2468
Asia,,1982,5342.6753,10184.702,1047.4794
Asia,,1983,5669.2085,9447.745,1137.5975
Asia,,1984,6169.9326,9336.17,1393.8191
Asia,,1985,7457.2046,9541.106,2808.8164
Asia,,1986,7704.5674,11060.38,3070.8174
Asia,,1987,8003.782,11054.437,3242.472
Asia,,1988,8357.686,12359.029,3410.8376
Asia,,1989,8873.227,13087.647,3568.1873
Asia,,1990,9032.402,13749.835,3607.2366
Asia,,1991,9152.28,13714.863,3754.5789
Asia,,1992,9375.166,14737.893,3644.516
Asia,,1993,9538.039,15144.801,3738.724
Asia,,1994,10054.37,15453.292,3771.8176
Asia,,1995,10777.732,15635.969,4008.0847
Asia,,1996,11118.638,16008.615,4336.987
Asia,,1997,11134.892,16434.533,4456.518
Asia,,1998,10818.439,17334.137,4609.099
Asia,,1999,10987.81,16916.264,5013.751
Asia,,2000,11495.854,17903.488,5574.39
Asia,,2001,12153.438,17702.648,5866.366
Asia,,2002,12864.209,16786.791,6317.119
Asia,,2003,14771.723,17903.973,6702.579
Asia,,2004,17021.615,19027.342,7218.9736
Asia,,2005,18907.822,19546.465,7801.354
Asia,,2006,20377.473,19877.346,8204.568
Asia,,2007,22009.637,19808.943,8808.749
Asia,,2008,23084.55,20578.13,9409.295
Asia,,2009,23876.309,19624.822,9456.196
Asia,,2010,25601.037,20187.592,10512.573
Asia,,2011,28308.754,21359.91,11163.108
Asia,,2012,28752.855,21648.771,11512.899
Asia,,2013,29519.662,21417.742,11776.752
Asia,,2014,29200.338,21531.719,12222.646
Asia,,2015,28781.092,22430.957,12525.946
Asia,,2016,27251.479,23262.52,12752.933
Asia,,2017,27939.596,22885.219,12968.102
Asia,,2018,29753.832,22995.633,13347.243
Asia,,2019,30832.928,22053.896,13590.506
Asia,,2020,30772.545,20545.5,13531.884
Asia,,2021,32076.31,20746.256,14207.947
Asia,,2022,35422.09,22139.94,14373.307
Asia,,1965,,5387.5947,
Asia,,1966,,6009.9614,
Asia,,1967,,6417.0938,
Asia,,1968,,7239.6665,
Asia,,1969,,8000.296,
Asia,,1970,,9110.328,237.10681
Asia,,1971,,10643.599,316.14493
Asia,,1972,,11943.729,371.78214
Asia,,1973,,14014.749,440.79312
Asia,,1974,,14524.374,502.93826
Asia,,1975,,13329.333,559.6552
Asia,,1976,,15197.328,614.5064
Asia,,1977,,15469.906,731.0368
Asia,,1978,,14973.696,808.8958
Asia,,1979,,15331.503,944.5702
Asia,,1980,,13456.259,949.5546
Asia Pacific (EI),,1981,5778.2036,2814.622,722.8983
Asia Pacific (EI),,1982,6075.4204,2756.8235,751.42224
Asia Pacific (EI),,1983,6432.77,2960.2754,848.33295
Asia Pacific (EI),,1984,6965.1343,3255.4893,987.16736
Asia Pacific (EI),,1985,7707.895,3365.3345,1070.1016
Asia Pacific (EI),,1986,7978.271,3488.1987,1180.5123
Asia Pacific (EI),,1987,8299.151,3519.8416,1255.9453
Asia Pacific (EI),,1988,8641.372,3557.6663,1341.6512
Asia Pacific (EI),,1989,9265.198,3661.528,1405.1964
Asia Pacific (EI),,1990,9534.419,3791.2957,1492.5189
Asia Pacific (EI),,1991,9721.73,3898.6807,1623.8663
Asia Pacific (EI),,1992,10056.607,3892.5122,1717.1842
Asia Pacific (EI),,1993,10320.118,3916.5498,1818.4127
Asia Pacific (EI),,1994,10900.85,4025.685,1982.1652
Asia Pacific (EI),,1995,11816.637,4096.689,2083.016
Asia Pacific (EI),,1996,12238.932,4232.756,2274.243
Asia Pacific (EI),,1997,12411.209,4273.505,2421.38
Asia Pacific (EI),,1998,12140.613,4254.9185,2461.1936
Asia Pacific (EI),,1999,12476.112,4213.6743,2615.2512
Asia Pacific (EI),,2000,12979.88,4436.488,2774.5474
Asia Pacific (EI),,2001,13782.545,4393.0024,2854.9363
Asia Pacific (EI),,2002,14601.701,4405.33,3040.8726
Asia Pacific (EI),,2003,16544.77,4360.241,3232.6133
Asia Pacific (EI),,2004,18873.477,4407.143,3443.7747
Asia Pacific (EI),,2005,20865.725,4451.6226,3720.2427
Asia Pacific (EI),,2006,22322.877,4424.1045,3895.2295
Asia Pacific (EI),,2007,24001.648,4441.6323,4070.56
Asia Pacific (EI),,2008,25066.613,4523.157,4262.7246
Asia Pacific (EI),,2009,26002.11,4490.0312,4445.349
Asia Pacific (EI),,2010,27775.967,4690.432,4881.119
Asia Pacific (EI),,2011,30383.42,4600.173,4928.4434
Asia Pacific (EI),,2012,31054.213,4658.046,5024.4033
Asia Pacific (EI),,2013,32070.22,4574.7104,5125.364
Asia Pacific (EI),,2014,31985.467,4586.584,5336.5923
Asia Pacific (EI),,2015,31723.238,4644.877,5602.379
Asia Pacific (EI),,2016,30195.578,4460.4165,5792.304
Asia Pacific (EI),,2017,30755.871,4286.2456,6060.0864
Asia Pacific (EI),,2018,32686.033,4194.445,6268.497
Asia Pacific (EI),,2019,33794.266,4204.2744,6585.227
Asia Pacific (EI),,2020,33453.086,4109.7554,6503.6465
Asia Pacific (EI),,2021,34647.766,4055.8472,6737.506
Asia Pacific (EI),,2022,37834.746,4019.1592,6812.729
Asia Pacific (EI),,1965,,522.24554,
Asia Pacific (EI),,1966,,581.64026,
Asia Pacific (EI),,1967,,616.6964,
Asia Pacific (EI),,1968,,721.63995,
Asia Pacific (EI),,1969,,830.6773,
Asia Pacific (EI),,1970,,1148.6549,151.01651
Asia Pacific (EI),,1971,,1379.3431,180.40474
Asia Pacific (EI),,1972,,1624.5076,208.82147
Asia Pacific (EI),,1973,,1939.5765,259.10513
Asia Pacific (EI),,1974,,2067.8262,316.8005
Asia Pacific (EI),,1975,,2198.2178,353.3298
Asia Pacific (EI),,1976,,2508.1074,408.28156
Asia Pacific (EI),,1977,,2738.5405,497.87607
Asia Pacific (EI),,1978,,2862.0737,591.9188
Asia Pacific (EI),,1979,,2935.8198,673.02747
Asia Pacific (EI),,1980,,2847.7197,717.85016
Australia,AUS,1981,788.57117,247.38208,119.94439
Australia,AUS,1982,804.9543,243.93092,116.980835
Australia,AUS,1983,838.7407,237.44705,127.074814
Australia,AUS,1984,880.9173,307.9994,125.31726
Australia,AUS,1985,1074.3456,356.8411,133.95262
Australia,AUS,1986,1142.8596,318.80838,146.32928
Australia,AUS,1987,1193.6675,338.87204,149.39459
Australia,AUS,1988,1173.2935,321.6083,152.99338
Australia,AUS,1989,1274.678,303.33276,177.07564
Australia,AUS,1990,1334.6012,352.09924,206.11147
Australia,AUS,1991,1384.4242,332.76974,215.765
Australia,AUS,1992,1477.2352,327.94684,233.33595
Australia,AUS,1993,1484.1,305.8865,243.83902
Australia,AUS,1994,1516.9104,329.3391,279.91214
Australia,AUS,1995,1591.8179,310.114,295.95966
Australia,AUS,1996,1640.6821,326.40598,296.33704
Australia,AUS,1997,1789.1143,346.43536,296.37646
Australia,AUS,1998,1832.1017,328.0255,302.7371
Australia,AUS,1999,1931.9178,319.4973,307.1253
Australia,AUS,2000,1996.8198,431.37653,311.92328
Australia,AUS,2001,2157.921,399.1475,326.41318
Australia,AUS,2002,2224.0464,396.66782,330.0116
Australia,AUS,2003,2299.0476,343.3505,337.45224
Australia,AUS,2004,2388.8308,299.85922,359.3031
Australia,AUS,2005,2501.2886,294.55624,382.35278
Australia,AUS,2006,2556.8406,268.95715,406.82227
Australia,AUS,2007,2640.8552,286.4461,427.51184
Australia,AUS,2008,2720.6213,285.7068,416.829
Australia,AUS,2009,2822.8337,280.429,466.97592
Australia,AUS,2010,2914.7896,286.53317,526.25507
Australia,AUS,2011,2850.8132,249.01212,544.51514
Australia,AUS,2012,3091.909,246.37004,582.85803
Australia,AUS,2013,3323.7432,204.80865,605.7658
Australia,AUS,2014,3559.4495,216.3719,652.7442
Australia,AUS,2015,3555.7026,195.42087,742.9768
Australia,AUS,2016,3563.0557,178.54611,940.797
Australia,AUS,2017,3473.3132,161.66644,1102.9464
Australia,AUS,2018,3638.0376,170.74864,1274.0186
Australia,AUS,2019,3662.1016,223.93333,1461.0238
Australia,AUS,2020,3372.4863,222.27069,1458.6396
Australia,AUS,2021,3302.789,214.22488,1482.2115
Australia,AUS,2022,3183.6519,203.44319,1528.1534
Australia,AUS,1965,,4.0263753,
Australia,AUS,1966,,5.1767683,
Australia,AUS,1967,,12.079125,
Australia,AUS,1968,,22.494122,
Australia,AUS,1969,,25.883842,
Australia,AUS,1970,,101.23458,17.303974
Australia,AUS,1971,,177.42035,25.82668
Australia,AUS,1972,,189.33647,37.07426
Australia,AUS,1973,,237.18723,47.068798
Australia,AUS,1974,,234.67719,53.70199
Australia,AUS,1975,,251.46202,57.669968
Australia,AUS,1976,,257.49902,68.07722
Australia,AUS,1977,,272.4299,77.76844
Australia,AUS,1978,,269.70963,83.72537
Australia,AUS,1979,,270.70334,96.375175
Australia,AUS,1980,,253.9847,110.66588
Azerbaijan,AZE,1985,,153.8649,137.39354
Azerbaijan,AZE,1986,,151.7715,132.804
Azerbaijan,AZE,1987,,161.7733,122.06249
Azerbaijan,AZE,1988,,159.7962,116.2035
Azerbaijan,AZE,1989,,153.0508,108.3915
Azerbaijan,AZE,1990,,145.375,96.6735
Azerbaijan,AZE,1991,,136.92813,83.979004
Azerbaijan,AZE,1992,,130.206,77.1435
Azerbaijan,AZE,1993,,119.22262,66.402
Azerbaijan,AZE,1994,,111.21537,62.496
Azerbaijan,AZE,1995,,106.550575,64.449
Azerbaijan,AZE,1996,,105.837654,57.388905
Azerbaijan,AZE,1997,,104.98402,54.654705
Azerbaijan,AZE,1998,,133.15187,51.002594
Azerbaijan,AZE,1999,,161.08713,54.654705
Azerbaijan,AZE,2000,,163.62247,51.529903
Azerbaijan,AZE,2001,,174.20578,50.514343
Azerbaijan,AZE,2002,,178.33441,46.85247
Azerbaijan,AZE,2003,,178.84615,46.705997
Azerbaijan,AZE,2004,,179.78816,45.5049
Azerbaijan,AZE,2005,,258.35114,55.973953
Azerbaijan,AZE,2006,,375.27222,66.0446
Azerbaijan,AZE,2007,,504.27567,105.77545
Azerbaijan,AZE,2008,,527.1751,159.52591
Azerbaijan,AZE,2009,,591.57855,159.39116
Azerbaijan,AZE,2010,,596.8202,162.80891
Azerbaijan,AZE,2011,,536.0849,159.76907
Azerbaijan,AZE,2012,,508.67645,168.36911
Azerbaijan,AZE,2013,,509.91736,174.74565
Azerbaijan,AZE,2014,,494.42505,183.84077
Azerbaijan,AZE,2015,,488.69147,187.84053
Azerbaijan,AZE,2016,,481.803,182.7754
Azerbaijan,AZE,2017,,454.60855,177.58627
Azerbaijan,AZE,2018,,455.87622,187.58467
Azerbaijan,AZE,2019,,441.87488,239.38213
Azerbaijan,AZE,2020,,407.35587,258.64847
Azerbaijan,AZE,2021,,410.12033,318.08316
Azerbaijan,AZE,2022,,387.3922,341.36777
Bahrain,BHR,1970,,,6.50117
Bahrain,BHR,1971,,,9.47845
Bahrain,BHR,1972,,,11.827709
Bahrain,BHR,1973,,,16.77046
Bahrain,BHR,1974,,,20.67814
Bahrain,BHR,1975,,,21.75973
Bahrain,BHR,1976,,,22.806429
Bahrain,BHR,1977,,,24.73701
Bahrain,BHR,1978,,,27.17931
Bahrain,BHR,1979,,,30.13333
Bahrain,BHR,1980,,,24.45789
Bahrain,BHR,1981,,,22.6785
Bahrain,BHR,1982,,,35.80877
Bahrain,BHR,1983,,,37.53001
Bahrain,BHR,1984,,,38.66975
Bahrain,BHR,1985,,,47.20617
Bahrain,BHR,1986,,,54.04461
Bahrain,BHR,1987,,,52.50945
Bahrain,BHR,1988,,,55.777477
Bahrain,BHR,1989,,,58.022068
Bahrain,BHR,1990,,,60.766747
Bahrain,BHR,1991,,,57.929028
Bahrain,BHR,1992,,,67.6866
Bahrain,BHR,1993,,,72.50142
Bahrain,BHR,1994,,,74.22266
Bahrain,BHR,1995,,,75.45544
Bahrain,BHR,1996,,,77.70003
Bahrain,BHR,1997,,,83.42199
Bahrain,BHR,1998,,,87.713455
Bahrain,BHR,1999,,,90.76052
Bahrain,BHR,2000,,,91.74907
Bahrain,BHR,2001,,,95.54045
Bahrain,BHR,2002,,,98.99455
Bahrain,BHR,2003,,,100.77395
Bahrain,BHR,2004,,,92.69889
Bahrain,BHR,2005,,,101.74285
Bahrain,BHR,2006,,,107.63207
Bahrain,BHR,2007,,,111.98627
Bahrain,BHR,2008,,,120.17577
Bahrain,BHR,2009,,,121.335045
Bahrain,BHR,2010,,,124.28656
Bahrain,BHR,2011,,,126.24079
Bahrain,BHR,2012,,,130.51854
Bahrain,BHR,2013,,,139.5783
Bahrain,BHR,2014,,,146.96526
Bahrain,BHR,2015,,,145.84346
Bahrain,BHR,2016,,,144.41371
Bahrain,BHR,2017,,,144.66324
Bahrain,BHR,2018,,,146.47455
Bahrain,BHR,2019,,,162.65964
Bahrain,BHR,2020,,,164.3668
Bahrain,BHR,2021,,,172.28249
Bahrain,BHR,2022,,,171.08846
Bangladesh,BGD,1971,,,4.4563746
Bangladesh,BGD,1972,,,4.4563746
Bangladesh,BGD,1973,,,6.150375
Bangladesh,BGD,1974,,,6.8145
Bangladesh,BGD,1975,,,4.514125
Bangladesh,BGD,1976,,,6.8722496
Bangladesh,BGD,1977,,,8.1235
Bangladesh,BGD,1978,,,8.614375
Bangladesh,BGD,1979,,,9.865625
Bangladesh,BGD,1980,,,12.291124
Bangladesh,BGD,1981,,,13.613855
Bangladesh,BGD,1982,,,17.674847
Bangladesh,BGD,1983,,,19.667185
Bangladesh,BGD,1984,,,22.700663
Bangladesh,BGD,1985,,,25.780474
Bangladesh,BGD,1986,,,29.070148
Bangladesh,BGD,1987,,,34.155926
Bangladesh,BGD,1988,,,40.201077
Bangladesh,BGD,1989,,,42.49867
Bangladesh,BGD,1990,,,45.742012
Bangladesh,BGD,1991,,,47.107487
Bangladesh,BGD,1992,,,51.370163
Bangladesh,BGD,1993,,,57.50253
Bangladesh,BGD,1994,,,60.985718
Bangladesh,BGD,1995,,,67.42334
Bangladesh,BGD,1996,,,72.36466
Bangladesh,BGD,1997,,,71.13274
Bangladesh,BGD,1998,,,76.864456
Bangladesh,BGD,1999,,,83.80357
Bangladesh,BGD,2000,,,90.58189
Bangladesh,BGD,2001,,,101.43208
Bangladesh,BGD,2002,,,106.71138
Bangladesh,BGD,2003,,,114.784294
Bangladesh,BGD,2004,,,123.40231
Bangladesh,BGD,2005,,,132.63358
Bangladesh,BGD,2006,,,143.63368
Bangladesh,BGD,2007,,,153.36371
Bangladesh,BGD,2008,,,163.7642
Bangladesh,BGD,2009,,,187.46738
Bangladesh,BGD,2010,,,192.53728
Bangladesh,BGD,2011,,,195.82149
Bangladesh,BGD,2012,,,213.36278
Bangladesh,BGD,2013,,,219.52786
