Population.Slope of Population Damage Function,Finance.sensitivity of effect of share of GDP invested in energy vs expectation on investment growth,Finance.sensitivity of effect of energy supply demand balance on investment growth,Finance.sensitivity of effect of crop balance on investment growth,Climate Units.selected climate case,Damages.Slope of Capital Damage Function,energy demand.sensitivity of per person use of energy to surface temperature anomaly,Freshwater.sensitivity of surface temperature anomaly on water used per Mtcrop,Finance.sensitivity of effect of sta on failure rate,Crop.STA crop yield parameter,Crop.STA squared crop yield parameter,Finance.sensitivity of effect of technological water discovery on investment growth
0.1215625,-1.96875,1.40625,0.81875,8,0.0803125,0.0234375,0.0803125,0.1984375,0.403125,-0.115625,-0.01390625
0.10515625,-1.640625,1.390625,0.959375,8,0.01984375,0.04609375,0.08453125,0.17109375,0.4546875,-0.4828125,-0.014609375
0.058398438,-1.44921875,1.44140625,0.57265625,8,0.016679688,0.031054688,0.079257813,0.193554688,0.406640625,-0.426171875,-0.019589844
0.179804688,-1.68359375,1.08203125,0.24453125,8,0.060273438,0.047460938,0.060976563,0.158398438,0.411328125,-0.152734375,-0.007167969
0.219179688,-1.99609375,1.26953125,0.68203125,5,0.077148438,0.044335938,0.044101563,0.142773438,0.392578125,-0.433984375,-0.019355469
0.105976563,-1.36328125,1.16796875,0.40859375,5,0.034257813,0.012695313,0.099648438,0.164257813,0.483984375,-0.445703125,-0.016425781
0.194570313,-1.87890625,0.93359375,0.29921875,8,0.030039063,0.002539063,0.013867188,0.215039063,0.441796875,-0.312890625,-0.016191406
0.044042969,-1.658203125,0.685546875,0.664453125,5,0.061152344,0.021777344,0.050605469,0.179394531,0.396679688,-0.399804688,-0.018271484
0.152324219,-1.892578125,0.857421875,0.836328125,8,0.099121094,0.016308594,0.018261719,0.183300781,0.307617188,-0.266992188,-0.015224609
0.145146484,-1.327148438,1.284179688,1.016992188,8,0.031181641,0.046044922,0.046826172,0.161083984,0.410449219,-0.336816406,-0.007739258
0.094287109,-1.725585938,1.057617188,0.884179688,8,0.037509766,0.047216797,0.054560547,0.178662109,0.323730469,-0.528222656,-0.015356445
0.028662109,-1.163085938,1.120117188,0.821679688,8,0.076884766,0.031591797,0.037685547,0.163037109,0.379980469,-0.434472656,-0.006918945
0.202568359,-1.491210938,1.073242188,0.962304688,8,0.047353516,0.010498047,0.039091797,0.198193359,0.478417969,-0.317285156,-0.00621582
0.137763672,-1.073242188,1.303710938,0.349023438,8,0.078642578,0.039208984,0.035927734,0.158154297,0.545214844,-0.311425781,-0.018461914
0.011435547,-1.252929688,0.577148438,0.809960938,8,0.024501953,0.005224609,0.035224609,0.195263672,0.510058594,-0.299707031,-0.018344727
0.207900391,-1.813476563,0.918945313,0.718164063,8,0.097802734,0.028173828,0.057548828,0.191845703,0.394628906,-0.279199219,-0.012924805
0.214462891,-1.344726563,0.512695313,0.749414063,8,0.072490234,0.020361328,0.082861328,0.184033203,0.460253906,-0.169824219,-0.011518555
0.112744141,-1.079101563,0.965820313,0.640039063,8,0.087958984,0.016455078,0.070205078,0.180126953,0.558691406,-0.568261719,-0.00706543
0.064345703,-1.333007813,0.946289063,0.472070313,8,0.022216797,0.023291016,0.058603516,0.200634766,0.398144531,-0.589746094,-0.018608398
