Run,Energy Balance Model.Heat Capacity of Land & Ocean Surface,Energy Balance Model.Heat Capacity of Thermocline Ocean,Energy Balance Model.Heat Capacity of Deep Ocean,Energy Balance Model.Deep Ocean Heat Uptake Efficacy Factor,Energy Balance Model.Heat Transfer Coefficient between Land & Ocean Surface and Space,Energy Balance Model.Heat Transfer Coefficient between Surface and Thermocline Ocean,Energy Balance Model.Heat Transfer Coefficient between Thermocline Ocean and Deep Ocean,Aerosol Forcing.Scaling Aerosol Cloud Interactions Effective Radiative Forcing scaling factor,Aerosol Forcing.Logarithmic Aerosol Cloud Interactions Effective Radiative Forcing scaling factor,Aerosol Forcing.Effective Radiative Forcing from Aerosol Radiation Interactions per unit SO2 Emissions,CH4 Forcing.Calibration scaling of CH4 forcing,N2O Forcing.Calibration scaling of N2O forcing,Minor GHGs Forcing.Calibration scaling of Minor GHG forcing,Stratospheric Water Vapour Forcing.Calibration scaling of Stratospheric H2O forcing,BC on Snow Forcing.Calibration scaling of Black Carbon on Snow forcing,Land Use Forcing.Calibration scaling of Albedo forcing,Land Use Forcing.Calibration scaling of Irrigation forcing,Natural Forcing.Calibration scaling of Volcano forcing,CO2 Forcing.Calibration scaling of CO2 forcing,Natural Forcing.Amplitude of Effective Radiative Forcing from Solar Output Variations,Natural Forcing.Linear trend in Effective Radiative Forcing from Solar Output Variations,Ozone Forcing.Ozone forcing per unit CH4 concentration change,Ozone Forcing.Ozone forcing per unit N2O concentration change,Ozone Forcing.Ozone forcing per unit Montreal gases equivalent effective stratospheric chlorine concentration change,Ozone Forcing.Ozone forcing per unit CO emissions change,Ozone Forcing.Ozone forcing per unit VOC emissions change,Ozone Forcing.Ozone forcing per unit NOx emissions change,Ocean.Depth of warm surface ocean layer,Ocean.Thickness of intermediate ocean layer,Ocean.Depth of cold surface ocean layer,Ocean.Reference overturning strength in Sv,Ocean.Reference intermediate to warm surface ocean mixing strength,Ocean.Reference cold surface to deep ocean mixing strength,Ocean.Reference strength of biological carbon pump in low latitude ocean,Ocean.Reference strength of biological carbon pump in high latitude ocean,Ocean.High latitude carbon pump transfer efficiency,CO2 Forcing.Atmospheric CO2 Concentration 1750,Ocean.Warm surface ocean alkalinity sensitivity to global T anomaly,Ocean.Cold surface ocean alkalinity sensitivity to global T anomaly,Ocean.High latitude carbon pump sensitivity to global T anomaly,Ocean.Warm surface ocean temperature sensitivity to global T anomaly,Ocean.Cold surface ocean temperature sensitivity to global T anomaly,Ocean.Warm surface ocean salinity sensitivity to global T anomaly,Ocean.Cold surface ocean salinity sensitivity to global T anomaly,Ocean.Initial Cold surface ocean pH,Ocean.Initial Warm surface ocean pH,Ocean.Initial Cold surface ocean carbon reservoir,Ocean.Initial Warm surface ocean carbon reservoir,Ocean.Initial Intermediate depth ocean carbon reservoir,Ocean.Initial Deep ocean ocean carbon reservoir,Energy Balance Model.Initial Land & Ocean Surface Temperature,Energy Balance Model.Initial Thermocline Ocean Temperature,Energy Balance Model.Initial Deep Ocean Temperature,Energy Balance Model.Initial ocean heat content change,CH4 Forcing.Initial CH4 in atmosphere,CO2 Forcing.Initial Atmospheric CO2 mass anomaly since 1750,Energy Balance Model.Surface Temperature 1850 to 1900 offset relative to 1750
57,3.1711665927200747,12.975838576145316,344.41929214567585,0.253183840275708,2.330940122391375,1.6019463474123026,0.7566656292484015,-1.980711258142856,0.002611913227173,-0.000387878680226,1.0669384433591649,0.913630278071361,0.9382604365254232,1.0956345522353432,0.9324574963659764,0.8574687545329713,-0.9075519732491192,0.980371990490207,0.8968489654202525,1.0063197041997192,0.0586240787893586,0.0002235976942256,0.0012986350742129,8.359669489711671e-05,0.0002175070894174,-5.255562573123686e-05,0.00072228964564,183.4463398572888,940.7142798886518,161.88226473428398,15.560315725054233,81.22152790136253,15.877227809171204,1.7433925918603688,8.903256882537168,0.3230692317002619,280.9427204920813,-1.2031376977187329e-06,-1.1433923435279036e-05,-0.4205721016684977,0.8338589195209665,0.8699106904023544,-0.0120313769771873,-0.1143392343527903,8.38394647355,8.07213791346,205.954382407,1361.86547076,9252.89620419,27610.7404618,0.602220444517,0.434239956884,0.0380159292663,0.332199218203,2135.32851741,495000.628161,0.08417352584097823
1664,4.9803621773891456,11.005296643018138,67.80135654157482,1.511166576697497,1.2544486532521426,0.970552929977316,1.3499212895061152,-0.6777913928799998,0.0413237898147943,-0.0015165817261094,0.9801321892462292,0.9976828398599992,0.8671131061102286,0.8764705984248632,1.2795993479762058,0.6570134875363322,-0.3180278720363866,0.9411243767791968,0.9647308765500664,0.7985994627230831,0.0289170849582385,0.0003059185869136,0.001125146364376,-6.070565554810855e-05,0.0001328829650318,0.0001868745572049,0.0007494790891235,364.4297875023465,736.3536297354535,100.21481927393762,24.053867200705536,81.39247581902646,23.020970855307965,0.3492778891009891,6.175963239322811,0.4669478951343154,277.0504643779854,-1.7942558741940717e-06,-2.720532378874275e-05,-0.0907269023351931,0.5816225379353216,0.5966054343519144,-0.0179425587419407,-0.2720532378874275,8.25032696153,8.0973039429,131.747348575,2690.45037793,6765.999762,25643.0756589,0.33734085936,0.0983890818626,0.0272653702012,0.0742298502824,2156.84228536,444660.028317,0.04371337662934059
2318,4.530463221934589,20.927337714941714,137.29134873608706,1.069904356463515,1.692709275692704,2.3113497826053173,0.8968140152184964,-0.9514583337780133,0.004893670898178,-0.0056622260117934,0.652840544518907,0.9078217690845004,0.8744256348960503,1.0626439365421705,1.820377896981165,1.171562179797704,-0.2790211829218292,0.7832067453817355,0.9997325734168796,1.1702049340866107,-0.0556509401269685,0.0002101773901694,0.0007484177809533,-4.45299164843465e-05,0.0001138425072285,-0.0001045231814704,0.0021223152535356,111.92773618280188,303.3795063282648,119.72016183967304,26.197907970669004,61.68902299698773,11.311508478327635,0.129331105443051,8.837091397368273,0.1571580323899314,277.1914496302013,-3.965389990830456e-06,-2.492865668560228e-05,-0.0372192432400394,0.4293869701261232,0.8271188949324944,-0.0396538999083045,-0.2492865668560228,8.48917407802,8.07105329609,147.894033008,832.259867056,3069.63170896,34269.0154389,0.309152511001,0.177545242922,0.0360851340865,0.162098559822,2155.08038026,488038.567268,0.03963723475624725
2997,5.241913267692498,21.98334729248281,171.26191040281878,0.7466335109563697,1.4922805898394242,0.9995327847757458,0.3791990225845322,-1.1809445161951355,0.0045355510208763,-0.00123792635519,0.8703685937375008,1.0461386304490146,0.9628222523355472,1.033673616638547,0.8035781499387749,1.5747002917142043,1.6042835195166216,0.964110001829458,1.0625967032258774,0.8819807045108955,0.0038856562255846,0.0001942020740323,0.0014160902201767,6.508071725660296e-06,6.723094593308443e-05,7.416719402589694e-05,0.0014279569579505,407.0984748531681,746.9957961541638,425.0972368128744,29.254187836436216,68.52558446650923,22.89023038210391,1.8250253857455427,6.767369319770236,0.1915478023917016,281.9689114590415,-1.648320009731155e-06,-6.535076652680935e-06,-0.1807519533703276,0.7190088875616338,0.8047075175976053,-0.0164832000973115,-0.0653507665268093,8.3171441246,8.08569868977,550.903268025,3011.64155809,7315.71873358,25394.6984808,0.594931977069,0.305185112709,0.0213711382608,0.217105700626,2136.94016248,439895.841719,0.06098570803044883
3301,3.85197905437684,15.151425220623864,100.1758289396012,1.4374616690632227,1.2202965087264332,4.357252753446767,1.0328056287657834,-0.0247377629920615,0.0259390044068693,-0.0040494302597323,0.823850523662819,1.0633396789440324,0.9166096623214663,1.0780950011077517,1.2678563684556088,1.186353431150856,1.3517856074146006,0.8658771192096382,0.9737536996294984,1.3547161191624686,-0.0361347519464432,0.0002470904923311,0.0008046623945724,4.652283462161657e-07,5.701839790801055e-05,1.0781725767953793e-05,0.000877378551549,233.08580146884887,424.7786921989281,251.761358919336,12.118910001151848,85.11139274422774,16.976266240794484,1.8445990393779448,10.368991214372064,0.429302298690895,280.3358541020988,-3.120745433998118e-06,-1.8709542767726183e-05,-0.4438406688311038,0.9999684029803724,0.6407105369631333,-0.0312074543399811,-0.1870954276772618,8.38046959479,8.07232174566,320.251708795,1728.916657,4163.31341298,32825.4439771,0.585274452349,0.422851992796,0.120541909638,0.33379073586,2136.2868058,496733.609454,0.048837412226733136
3791,4.3543765055503085,36.28796892052193,172.07167903739688,0.4652773582035049,1.5997805145278403,0.5629596845347988,0.9075422597961608,-0.0327993321331451,0.0207717652937526,-0.0056546838792529,1.030793102513658,1.0037313409471444,0.9527393541458276,0.5489398606795997,0.5958917514159181,0.4332990883761894,-0.8748476689472003,1.2622332612500953,0.9711341210752612,0.4061446438522833,-0.0321272456614576,0.0002061018136852,0.0013473643658231,-0.0001990132953922,4.198222528318095e-06,0.0002371541146237,0.0013086882690961,307.3100883097628,812.9083863575235,229.17819272495407,28.17441129640199,59.25894130389386,26.215389071849074,2.2252247149495066,9.64099388802388,0.2730444292667334,276.7267590210975,-3.961440066490039e-06,-1.9091021979422687e-05,-0.0943919643290921,0.8794805163493038,0.4034267119402658,-0.0396144006649003,-0.1909102197942268,8.37423602037,8.0836511181,292.140567481,2272.72597182,8292.60776355,26158.6801561,0.57483450405,0.193510321742,0.0322545047795,0.242660660076,2136.34913638,459289.092607,0.09734286062178785
5422,5.4016267283578525,21.17952140588737,124.68268591774142,1.250622177809752,1.4636769745143834,2.3253545384495498,0.7332400994789531,-0.66147745003261,0.0088707535107304,-0.0023576551309475,0.9188457209367304,0.8740510607598645,1.029957453038294,0.691218327079508,1.0562862686104475,0.8689465124451643,2.225123931144706,1.238957493982916,0.9314361306910924,1.367605203482016,-0.0218458232374814,0.0001976886969664,0.0006807114347206,6.918608894755728e-05,0.0001442552582102,0.00037698445816,0.0021388972867638,399.210383457131,797.3888321841646,470.9057457245249,18.94617732598189,56.39595629048173,21.33217851283039,2.0354613395135543,6.9577425411221565,0.4193707593311093,275.5053739380709,-2.2347382306146447e-06,-1.3651561933030108e-05,-0.039852215692555,0.6639498623560871,0.5846871202433471,-0.0223473823061464,-0.1365156193303011,8.26128352555,8.09656165766,617.722157152,2944.98341578,7816.50257912,25094.9002545,0.546591239085,0.320950115367,0.0560206189828,0.269375039356,2140.21039452,452642.277818,0.056917764868620595
6620,3.060379774651656,12.321225842323017,27.314696139901507,1.1542912269285115,1.296962503392902,3.7059891286550855,0.8157242539398797,-7.333440288751328,0.0014010818232136,-0.0011638109298016,1.0894254508326449,1.0523138103858531,0.9672146357799865,0.0462426055392631,0.5547533898111883,0.0347956764022353,0.5050343861064179,0.8178873586275668,1.0975480342012145,0.9638447241356276,-0.0163782273301735,0.0002051005319702,0.001423866563894,2.179990369080697e-06,-3.385153263418463e-05,2.273096983196519e-05,0.002126582109419,401.961960307478,959.6767469636468,126.2074092562345,13.255238358571724,81.86102936546149,27.06189770725521,2.421542756681188,7.207838089748278,0.222691946231343,276.78496107379766,-1.6095046851299789e-06,-2.930819919254474e-05,-0.1308716674232069,0.855869126904522,0.355294382530768,-0.0160950468512997,-0.2930819919254474,8.35374528919,8.08879720618,161.644416398,2971.95874564,9368.36606669,24452.1491612,0.448138684693,0.363726392098,0.229403062797,0.195076961681,2144.63363668,440160.527364,0.07634292988022803
7052,2.2735316950041566,7.141071599883007,208.88229524617387,0.8118565965380728,2.228095667391353,4.810506160826625,0.5054836290685121,-0.0811065876837108,0.0211876736961565,-0.0019661163026115,1.223257913759419,1.0546923410750255,1.0320497472358894,1.071472313610069,1.9242410518212565,0.4566344571108834,0.5544550933703359,0.9105593105006402,0.8637510146552767,1.187919717437018,0.0285996692904224,0.0001990231912698,0.0014196441991649,-2.4359892117536963e-05,0.0001461066910691,0.0002790257530308,0.0005234996638596,477.8995197024104,946.0963477829274,126.53805355195487,12.349772913725523,54.13217116729602,10.605825235523472,1.8702163132046583,6.543453654888392,0.4501239919835399,277.3003745888872,-2.029683660176977e-06,-2.4435787734473177e-05,-0.1132078101494479,0.8728013094708553,0.5015518556461938,-0.0202968366017697,-0.2443578773447317,8.24439502914,8.09020428205,165.929299571,3527.9138239,9328.27594865,25001.007654,0.687144686598,0.607582948176,0.0565429161292,0.285101460316,2128.96640392,484795.76875,0.08853611977648235
7937,4.218628696470782,27.9726791076164,306.4188619451622,0.1298700777573016,1.2674222755397735,0.8456074392889186,0.5096230640050922,-1.2658628127891651,0.0096962476020724,-0.0005955614637042,1.1690250846393482,1.071553812427738,0.9537300884686868,1.520318451059294,0.1602370485353127,1.629728501468597,1.6413677870219956,1.010441596878962,0.9926236296399163,1.7355208258848265,-0.1043365692104869,0.0002805636178542,0.0010225318882785,-2.486324397543212e-05,7.522068087446553e-05,-0.0001311086883204,0.0007789535180661,276.8691863047911,893.9706353181214,489.9423015255016,19.73781664236995,62.77563527966876,19.3350038760476,2.161767522834603,7.3552965438174045,0.2406642992089478,277.24240866850647,-1.3119041874546489e-06,-2.2763328894970874e-05,-0.3487919304306252,0.8281610875607983,0.9048114087909772,-0.0131190418745464,-0.2276332889497087,8.33717432216,8.08545120739,630.404099423,2049.25918708,8960.17364736,25835.1880042,0.449087287322,0.173793437305,0.00108669338853,0.114108879908,2150.21385051,460259.333316,0.008324516798668429
