Year,Temperature.CO2 Fossil Emissions,Temperature.CO2 AFOLU Emissions,Temperature.Total CH4 Emissions,Temperature.Total N2O Emissions,Temperature.Total SO2 emissions
1750,9.505619891,297.4646065,19.01978312,86.02230754,2.440048435
1751,9.505963229,302.9370985,18.91510887,87.64746362,2.408379138
1752,9.510002042,308.5102686,18.88971181,89.30332259,2.397116044
1753,9.51034538,314.185969,19.12137723,90.99046447,2.410693365
1754,9.514384194,319.9660859,19.50906107,92.70948029,2.462065253
1755,9.518423007,325.8525403,19.50045493,94.4609722,2.442355144
1756,10.16917002,331.8472885,19.4625366,96.24555376,2.419184325
1757,10.17320884,337.9523229,20.02354066,98.0638501,2.507464693
1758,10.17724765,344.1696723,19.93400533,99.91649818,2.479743826
1759,10.18128646,350.5014029,20.14146621,101.804147,2.473528035
1760,10.1816298,356.9496193,20.41679714,103.7274577,2.497745196
1761,11.14651159,363.5164642,20.45599017,105.6871042,2.509181763
1762,11.15056977,370.2041201,20.45168738,107.6837728,2.466504133
1763,11.15462794,377.0148097,20.54517934,109.718163,2.480992166
1764,11.15868611,383.9507963,20.26091721,111.7909874,2.421867931
1765,11.16274429,391.0143851,20.919155,113.9029722,2.497554066
1766,12.44543696,398.2079236,20.8535919,116.0548571,2.484408322
1767,12.44949514,405.5338025,20.99917946,118.247396,2.482742878
1768,12.45355331,412.9944564,21.65945211,120.481357,2.585377496
1769,12.45761148,420.5923649,21.49633535,122.7575225,2.542757581
1770,12.46166966,428.330053,21.63439757,125.0766899,2.551004694
1771,13.81090157,436.2100923,21.4289211,127.4396717,2.456424302
1772,13.81498041,444.2351017,21.39461572,129.8472955,2.431878812
1773,13.81905926,452.4077481,21.59523139,132.3004048,2.437570529
1774,13.8231381,460.7307476,22.25970773,134.7998589,2.528911972
1775,13.82721695,469.2068664,22.20096329,137.3465333,2.497313043
1776,15.25035837,477.8389213,22.14194213,139.9413202,2.466672079
1777,15.25443721,486.6297812,22.56871006,142.5851285,2.521353634
1778,15.25851606,495.5823676,22.85608093,145.2788843,2.560565944
1779,15.2625949,504.6996558,22.82063569,148.0235312,2.503712449
1780,15.27036922,513.9846758,23.24616665,150.8200307,2.545624085
1781,17.07416836,523.4405135,23.24965548,153.6693625,2.551092641
1782,17.07827094,533.0703113,23.34175812,156.5725245,2.518173245
1783,17.08606901,542.8772697,23.37991679,159.5305339,2.513461275
1784,17.09017159,552.8646479,23.2940423,162.5444267,2.478316441
1785,17.10194574,563.035765,23.80210554,165.6152589,2.529190605
1786,19.40463405,573.3940015,23.831995,168.7441059,2.523874405
1787,19.41243212,583.9427996,24.17652818,171.932064,2.558671152
1788,19.4165347,594.6856653,24.85592892,175.1802499,2.648030358
1789,19.42433276,605.6261687,24.71707284,178.4898013,2.597817354
1790,19.43213083,616.7679459,24.94220857,181.8618776,2.605536163
1791,21.69419182,628.1146997,24.77843217,185.2976601,2.565535213
1792,22.34876643,639.6702011,24.81889294,188.7983522,2.555885905
1793,22.37174568,651.4382904,25.03153141,192.3651804,2.549374599
1794,22.32534355,663.4228787,25.76753778,195.9993941,2.642660373
1795,22.33821728,675.6279489,25.77334281,199.7022662,2.610163563
1796,23.43921459,688.0575572,25.74058407,203.475094,2.568822151
1797,24.5980621,700.7158345,26.23006226,207.3191991,2.640239462
1798,25.61685792,713.6069877,26.54644012,211.235928,2.684800166
1799,26.98144303,726.7353009,26.70648817,215.2266528,2.661313715
1800,28.77780539,740.1051373,27.05634308,219.2927714,2.698593795
1801,28.55469611,753.7209402,27.12488718,223.4357081,2.688431218
1802,37.07238349,767.5872346,27.33978432,227.6569144,2.727330113
1803,32.11505223,781.708629,27.32049985,231.9578688,2.675871996
1804,35.05259222,796.0898163,27.46474997,236.3400779,2.691782017
1805,34.26830496,810.735576,27.9507982,240.8050769,2.729785228
1806,35.86203938,825.6507755,28.13437245,245.3544298,2.736325627
1807,38.36726044,840.8403718,28.45865603,249.9897303,2.775121695
1808,35.85692752,856.3094128,29.18524117,254.7126021,2.846709202
1809,35.88850331,872.0630397,29.12865813,259.5246997,2.801892048
1810,38.156726,888.1064879,29.42453242,264.4277086,2.823983532
1811,40.3635149,904.4450894,29.40578756,269.4233465,2.803000631
1812,41.75970724,921.084274,29.4202985,274.5133633,2.785422831
1813,41.95454084,938.0295718,29.77847603,279.6995421,2.796288721
1814,42.8876376,955.2866142,30.54785186,284.9836995,2.893725367
1815,44.31824074,972.8611365,30.64433954,290.3676866,2.881174397
1816,49.03968264,990.7589794,30.79985622,295.8533893,2.89451963
1817,51.19270204,1008.986091,31.19839541,301.4427295,2.939425965
1818,51.50323308,1027.548529,31.68760832,307.1376649,3.001978233
1819,51.74568402,1046.452462,31.84544135,312.9401905,2.956182588
1820,52.53618867,1065.704174,32.33339467,318.852339,2.995581553
1821,53.36192138,1085.310061,32.52138863,324.8761814,3.007308731
