Year,Temperature.CO2 Fossil Emissions,Temperature.CO2 AFOLU Emissions,Temperature.Total CH4 Emissions,Temperature.Total N2O Emissions,Temperature.Total SO2 emissions,Temperature.Solar Forcing,Temperature.Volcanic Forcing
1750.5,9.505619891,297.4646065,19.01978312,86.02230754,2.440048435,0.073621394,0.185745674
1751.5,9.505963229,302.9370985,18.91510887,87.64746362,2.408379138,0.055275105,0.185756746
1752.5,9.510002042,308.5102686,18.88971181,89.30332259,2.397116044,0.025197175,0.185760472
1753.5,9.51034538,314.185969,19.12137723,90.99046447,2.410693365,-0.010980584,0.185761717
1754.5,9.514384194,319.9660859,19.50906107,92.70948029,2.462065253,-0.045395476,0.185762136
1755.5,9.518423007,325.8525403,19.50045493,94.4609722,2.442355144,-0.069872796,0.16149051
1756.5,10.16917002,331.8472885,19.4625366,96.24555376,2.419184325,-0.077454681,-0.064139904
1757.5,10.17320884,337.9523229,20.02354066,98.0638501,2.507464693,-0.058312762,0.06548149
1758.5,10.17724765,344.1696723,19.93400533,99.91649818,2.479743826,-0.006955633,0.143706674
1759.5,10.18128646,350.5014029,20.14146621,101.804147,2.473528035,0.043543464,0.171560264
1760.5,10.1816298,356.9496193,20.41679714,103.7274577,2.497745196,0.068426399,0.180988301
1761.5,11.14651159,363.5164642,20.45599017,105.6871042,2.509181763,0.062279768,0.184158544
1762.5,11.15056977,370.2041201,20.45168738,107.6837728,2.466504133,0.040189338,-0.719878886
1763.5,11.15462794,377.0148097,20.54517934,109.718163,2.480992166,0.006850886,-0.439960121
1764.5,11.15868611,383.9507963,20.26091721,111.7909874,2.421867931,-0.029904095,-0.039047325
1765.5,11.16274429,391.0143851,20.919155,113.9029722,2.497554066,-0.059748015,0.109581666
1766.5,12.44543696,398.2079236,20.8535919,116.0548571,2.484408322,-0.073866546,-0.178487527
1767.5,12.44949514,405.5338025,20.99917946,118.247396,2.482742878,-0.060684051,-0.230039677
1768.5,12.45355331,412.9944564,21.65945211,120.481357,2.585377496,-0.004521941,0.029544124
1769.5,12.45761148,420.5923649,21.49633535,122.7575225,2.542757581,0.061624543,0.132534616
1770.5,12.46166966,428.330053,21.63439757,125.0766899,2.551004694,0.093293733,0.036362348
1771.5,13.81090157,436.2100923,21.4289211,127.4396717,2.456424302,0.085743049,0.088893036
1772.5,13.81498041,444.2351017,21.39461572,129.8472955,2.431878812,0.062810188,0.151100522
1773.5,13.81905926,452.4077481,21.59523139,132.3004048,2.437570529,0.026866438,0.174022557
1774.5,13.8231381,460.7307476,22.25970773,134.7998589,2.528911972,-0.013882293,0.181814436
1775.5,13.82721695,469.2068664,22.20096329,137.3465333,2.497313043,-0.049607635,0.184436008
1776.5,15.25035837,477.8389213,22.14194213,139.9413202,2.466672079,-0.070762029,0.185316816
1777.5,15.25443721,486.6297812,22.56871006,142.5851285,2.521353634,-0.066955486,0.185612686
1778.5,15.25851606,495.5823676,22.85608093,145.2788843,2.560565944,-0.02232221,0.185712075
1779.5,15.2625949,504.6996558,22.82063569,148.0235312,2.503712449,0.049081672,0.185745465
1780.5,15.27036922,513.9846758,23.24616665,150.8200307,2.545624085,0.091858479,0.185756681
1781.5,17.07416836,523.4405135,23.24965548,153.6693625,2.551092641,0.091702473,0.185760451
1782.5,17.07827094,533.0703113,23.34175812,156.5725245,2.518173245,0.06741236,0.185761713
1783.5,17.08606901,542.8772697,23.37991679,159.5305339,2.513461275,0.030548176,-1.607111309
1784.5,17.09017159,552.8646479,23.2940423,162.5444267,2.478316441,-0.012977459,-3.487549643
1785.5,17.10194574,563.035765,23.80210554,165.6152589,2.529190605,-0.049670037,-1.322721197
1786.5,19.40463405,573.3940015,23.831995,168.7441059,2.523874405,-0.068967962,-0.487257524
1787.5,19.41243212,583.9427996,24.17652818,171.932064,2.558671152,-0.055270647,-0.096137761
1788.5,19.4165347,594.6856653,24.85592892,175.1802499,2.648030358,0.01334073,0.088531065
1789.5,19.42433276,605.6261687,24.71707284,178.4898013,2.597817354,0.09348094,0.152985893
1790.5,19.43213083,616.7679459,24.94220857,181.8618776,2.605536163,0.12065716,0.174747138
1791.5,21.69419182,628.1146997,24.77843217,185.2976601,2.565535213,0.106554231,0.182061991
1792.5,22.34876643,639.6702011,24.81889294,188.7983522,2.555885905,0.088379548,0.184519353
1793.5,22.37174568,651.4382904,25.03153141,192.3651804,2.549374599,0.057599592,0.185344816
1794.5,22.32534355,663.4228787,25.76753778,195.9993941,2.642660373,0.021733845,0.1856221
1795.5,22.33821728,675.6279489,25.77334281,199.7022662,2.610163563,-0.016159978,0.185715243
1796.5,23.43921459,688.0575572,25.74058407,203.475094,2.568822151,-0.05002885,0.056138903
1797.5,24.5980621,700.7158345,26.23006226,207.3191991,2.640239462,-0.075067791,-0.042794853
1798.5,25.61685792,713.6069877,26.54644012,211.235928,2.684800166,-0.08729865,0.057545268
1799.5,26.98144303,726.7353009,26.70648817,215.2266528,2.661313715,-0.084771355,0.140354145
1800.5,28.77780539,740.1051373,27.05634308,219.2927714,2.698593795,-0.066565472,0.170402887
1801.5,28.55469611,753.7209402,27.12488718,223.4357081,2.688431218,-0.036690349,0.180598096
1802.5,37.07238349,767.5872346,27.33978432,227.6569144,2.727330113,-0.008546892,0.184027398
1803.5,32.11505223,781.708629,27.32049985,231.9578688,2.675871996,0.008613752,0.185179556
1804.5,35.05259222,796.0898163,27.46474997,236.3400779,2.691782017,0.010891438,0.185566583
1805.5,34.26830496,810.735576,27.9507982,240.8050769,2.729785228,0.002342317,0.185696593
1806.5,35.86203938,825.6507755,28.13437245,245.3544298,2.736325627,-0.012135027,0.185740259
1807.5,38.36726044,840.8403718,28.45865603,249.9897303,2.775121695,-0.03218178,0.185754929
1808.5,35.85692752,856.3094128,29.18524117,254.7126021,2.846709202,-0.053835393,0.185759857
